Club,Pool(s),Country,Founded,Stadium,Capacity,Training Facilities /10,Youth Facilities /10,League Titles,Domestic Cup Wins,European Trophies,Current World Reputation /10,Historical World Reputation /10,Ballon d'Or Winners Played For Club,Transfer Spending /10,Transfer Strategy
Millwall FC,Championship,England,1885,The Den,20146,5,5,League 0; FA Cup 0,League 0; FA Cup 0,League 0; FA Cup 0,5,5,None known,5,Balanced / selective spending
Bolton Wanderers,Championship,England,1874,Toughsheet Community Stadium,28723,5,5,League 0; FA Cup 4,League 0; FA Cup 4,League 0; FA Cup 4,5,5,None known,5,Balanced / selective spending
Watford,Championship,England,1881,Vicarage Road,22200,5,5,League 0; FA Cup 0,League 0; FA Cup 0,League 0; FA Cup 0,5,5,None known,5,Balanced / selective spending
Middlesbrough,Championship,England,1876,Riverside Stadium,34642,5,5,League 0; League Cup 1,League 0; League Cup 1,League 0; League Cup 1,5,5,None known,5,Balanced / selective spending
Charlton Athletic,Championship,England,1905,The Valley,27111,5,5,League 0; FA Cup 1,League 0; FA Cup 1,League 0; FA Cup 1,5,5,None known,5,Balanced / selective spending
Swansea City,Championship,Wales,1912,Swansea.com Stadium,21088,5,5,League 0; FA Cup 0; League Cup 1,League 0; FA Cup 0; League Cup 1,League 0; FA Cup 0; League Cup 1,5,5,None known,5,Balanced / selective spending
West Bromwich Albion,Championship,England,1878,The Hawthorns,26688,5,5,League 1; FA Cup 5; League Cup 1,League 1; FA Cup 5; League Cup 1,League 1; FA Cup 5; League Cup 1,5,5,None known,5,Balanced / selective spending
Blackburn Rovers,Championship,England,1875,Ewood Park,31154,5,5,League 3; FA Cup 6; League Cup 1,League 3; FA Cup 6; League Cup 1,League 3; FA Cup 6; League Cup 1,5,5,None known,5,Balanced / selective spending
Burnley,Championship,England,1882,Turf Moor,22546,5,5,League 2; FA Cup 1,League 2; FA Cup 1,League 2; FA Cup 1,5,5,None known,5,Balanced / selective spending
West Ham United,Championship,England,1895,London Stadium,62500,8,8,"League 0; FA Cup 3; League Cup 0; European: Cup Winners' Cup 1, Conference League 1","League 0; FA Cup 3; League Cup 0; European: Cup Winners' Cup 1, Conference League 1","League 0; FA Cup 3; League Cup 0; European: Cup Winners' Cup 1, Conference League 1",5,5,None known,6,Balanced / selective spending
Wolverhampton Wanderers,Championship,England,1877,Molineux,34624,5,5,League 3; FA Cup 4; League Cup 2,League 3; FA Cup 4; League Cup 2,League 3; FA Cup 4; League Cup 2,5,5,None known,5,Balanced / selective spending
Cardiff City,Championship,Wales,1899,Cardiff City Stadium,33280,5,5,League 0; FA Cup 0; European: Cup Winners' Cup semi-finalist,League 0; FA Cup 0; European: Cup Winners' Cup semi-finalist,League 0; FA Cup 0; European: Cup Winners' Cup semi-finalist,5,5,None known,5,Balanced / selective spending
Wrexham,Championship,Wales,1864,STōK Cae Ras,12565,5,5,Not yet entered,Not yet entered,Not yet entered,5,5,None known,5,Balanced / selective spending
Birmingham City,Championship,England,1875,St Andrew's @ Knighthead Park,29309,5,5,League 0; League Cup 2,League 0; League Cup 2,League 0; League Cup 2,5,5,None known,5,Balanced / selective spending
Sheffield United,Championship,England,1889,Bramall Lane,30369,5,5,League 1; FA Cup 4,League 1; FA Cup 4,League 1; FA Cup 4,5,5,None known,5,Balanced / selective spending
Lincoln City,Championship,England,1884,LNER Stadium,10120,5,5,League 0; major cup wins 0,League 0; major cup wins 0,League 0; major cup wins 0,5,5,None known,5,Balanced / selective spending
Preston North End,Championship,England,1880,Deepdale,23408,5,5,League 2; FA Cup 2,League 2; FA Cup 2,League 2; FA Cup 2,5,5,None known,5,Balanced / selective spending
Norwich City,Championship,England,1902,Carrow Road,27244,5,5,League 0; League Cup 2,League 0; League Cup 2,League 0; League Cup 2,5,5,None known,5,Balanced / selective spending
Stoke City,Championship,England,1863,bet365 Stadium,30089,5,5,League 0; FA Cup 0; League Cup 0,League 0; FA Cup 0; League Cup 0,League 0; FA Cup 0; League Cup 0,5,5,None known,5,Balanced / selective spending
Derby County,Championship,England,1884,Pride Park Stadium,33597,5,5,League 2; FA Cup 1,League 2; FA Cup 1,League 2; FA Cup 1,5,5,None known,5,Balanced / selective spending
Portsmouth,Championship,England,1898,Fratton Park,20899,5,5,League 2; FA Cup 2,League 2; FA Cup 2,League 2; FA Cup 2,5,5,None known,5,Balanced / selective spending
Bristol City,Championship,England,1894,Ashton Gate,27699,5,5,League 0; major cup wins 0,League 0; major cup wins 0,League 0; major cup wins 0,5,5,None known,5,Balanced / selective spending
Southampton,Championship,England,1885,St Mary's Stadium,32384,8,9,League 0; FA Cup 1,League 0; FA Cup 1,League 0; FA Cup 1,5,5,None known,5,Balanced / selective spending
Luton Town,Promotion Pool,England,1885,Kenilworth Road,12056,5,5,League 0; League Cup 1,League 0; League Cup 1,League 0; League Cup 1,5,5,None known,5,Balanced / selective spending
Huddersfield Town,Promotion Pool,England,1908,John Smith's Stadium,24121,5,5,League 3; FA Cup 1,League 3; FA Cup 1,League 3; FA Cup 1,5,5,None known,5,Balanced / selective spending
Leicester City,Promotion Pool,England,1884,King Power Stadium,32261,5,5,League 1; FA Cup 1; League Cup 3,League 1; FA Cup 1; League Cup 3,League 1; FA Cup 1; League Cup 3,5,5,None known,5,Balanced / selective spending
Reading FC,Promotion Pool,England,1871,Select Car Leasing Stadium,24161,5,5,League 0; FA Cup 0,League 0; FA Cup 0,League 0; FA Cup 0,5,5,None known,5,Balanced / selective spending
Wigan Athletic,Promotion Pool,England,1932,DW Stadium,25138,5,5,League 0; FA Cup 1,League 0; FA Cup 1,League 0; FA Cup 1,5,5,None known,5,Balanced / selective spending
FC Schalke 04,Other Clubs,Germany,1904,Veltins-Arena,62271,6,6,League 7; DFB-Pokal 5; European: UEFA Cup 1,League 7; DFB-Pokal 5; European: UEFA Cup 1,League 7; DFB-Pokal 5; European: UEFA Cup 1,6,5,None known,5,Balanced / selective spending
AS Monaco,Other Clubs,Monaco,1924,Stade Louis II,18523,8,9,Ligue 1 8; Coupe de France 5; European: no major UEFA club trophy,Ligue 1 8; Coupe de France 5; European: no major UEFA club trophy,Ligue 1 8; Coupe de France 5; European: no major UEFA club trophy,8,7,No Ballon d'Or winner,5,Balanced / selective spending
RC Strasbourg Alsace,Other Clubs,France,1906,Stade de la Meinau,29320,6,6,Ligue 1 1; Coupe de France 3; Coupe de la Ligue 3,Ligue 1 1; Coupe de France 3; Coupe de la Ligue 3,Ligue 1 1; Coupe de France 3; Coupe de la Ligue 3,6,5,None known,5,Balanced / selective spending
Atalanta,Other Clubs,Italy,1907,Gewiss Stadium,24900,8,9,Serie A 0; Coppa Italia 1; European: Europa League 1,Serie A 0; Coppa Italia 1; European: Europa League 1,Serie A 0; Coppa Italia 1; European: Europa League 1,6,5,No Ballon d'Or winner,6,Balanced / selective spending
Al Hilal,Other Clubs,Saudi Arabia,1957,Kingdom Arena,26262,6,6,Not yet entered,Not yet entered,Not yet entered,6,5,None known,5,Balanced / selective spending
Al Nassr,Other Clubs,Saudi Arabia,1955,Al-Awwal Park,26700,6,6,Not yet entered,Not yet entered,Not yet entered,6,5,None known,5,Balanced / selective spending
Al Ahli SFC,Other Clubs,Saudi Arabia,1937,King Abdullah Sports City,62345,6,6,Not yet entered,Not yet entered,Not yet entered,6,5,None known,5,Balanced / selective spending
Al Ittihad,Other Clubs,Saudi Arabia,1927,King Abdullah Sports City,62345,6,6,Not yet entered,Not yet entered,Not yet entered,6,5,None known,5,Balanced / selective spending
Sevilla FC,Other Clubs,Spain,1890,Ramón Sánchez-Pizjuán,42714,8,8,La Liga 1; Copa del Rey 5; European: UEFA Cup/Europa League 7,La Liga 1; Copa del Rey 5; European: UEFA Cup/Europa League 7,La Liga 1; Copa del Rey 5; European: UEFA Cup/Europa League 7,8,7,No Ballon d'Or winner,5,Balanced / selective spending
Rangers FC,Other Clubs,Scotland,1872,Ibrox Stadium,50817,8,8,League 55; Scottish Cup 34; League Cup 28; European: Cup Winners' Cup 1,League 55; Scottish Cup 34; League Cup 28; European: Cup Winners' Cup 1,League 55; Scottish Cup 34; League Cup 28; European: Cup Winners' Cup 1,8,8,No Ballon d'Or winner,5,Balanced / selective spending
Hearts,Other Clubs,Scotland,1874,Tynecastle Park,19852,6,6,Scottish League 4; Scottish Cup 8; League Cup 4,Scottish League 4; Scottish Cup 8; League Cup 4,Scottish League 4; Scottish Cup 8; League Cup 4,6,5,None known,5,Balanced / selective spending
Vitória SC,Other Clubs,Portugal,1922,Estádio D. Afonso Henriques,30514,6,6,Portuguese Cup 1; Super Cup 1,Portuguese Cup 1; Super Cup 1,Portuguese Cup 1; Super Cup 1,6,5,None known,5,Balanced / selective spending
Atlético Madrid,Champions League Pool,Spain,1903,Riyadh Air Metropolitano,70300,8,8,"La Liga 11; Copa del Rey 10; European: Europa League/UEFA Cup 3, Cup Winners' Cup 1","La Liga 11; Copa del Rey 10; European: Europa League/UEFA Cup 3, Cup Winners' Cup 1","La Liga 11; Copa del Rey 10; European: Europa League/UEFA Cup 3, Cup Winners' Cup 1",8,7,No Ballon d'Or winner,8,Elite spending / marquee signings
Borussia Dortmund,Champions League Pool,Germany,1909,Signal Iduna Park,81365,9,10,"Bundesliga 8; DFB-Pokal 5; European: Champions League 1, Cup Winners' Cup 1","Bundesliga 8; DFB-Pokal 5; European: Champions League 1, Cup Winners' Cup 1","Bundesliga 8; DFB-Pokal 5; European: Champions League 1, Cup Winners' Cup 1",8,7,Matthias Sammer,5,Balanced / selective spending
FC Barcelona,Champions League Pool,Spain,1899,Spotify Camp Nou,99354,10,10,"La Liga 28; Copa del Rey 32; European: Champions League/European Cup 5, Cup Winners' Cup 4","La Liga 28; Copa del Rey 32; European: Champions League/European Cup 5, Cup Winners' Cup 4","La Liga 28; Copa del Rey 32; European: Champions League/European Cup 5, Cup Winners' Cup 4",9,10,Luis Suárez; Johan Cruyff; Hristo Stoichkov; Rivaldo; Ronaldinho; Lionel Messi,8,Elite spending / marquee signings
FC Bayern München,Champions League Pool,Germany,1900,Allianz Arena,75024,10,10,"Bundesliga 34; DFB-Pokal 20; European: Champions League/European Cup 6, UEFA Cup 1, Cup Winners' Cup 1","Bundesliga 34; DFB-Pokal 20; European: Champions League/European Cup 6, UEFA Cup 1, Cup Winners' Cup 1","Bundesliga 34; DFB-Pokal 20; European: Champions League/European Cup 6, UEFA Cup 1, Cup Winners' Cup 1",9,10,Gerd Müller; Franz Beckenbauer; Karl-Heinz Rummenigge,7,Aggressive / competitive spending
Club Brugge KV,Champions League Pool,Belgium,1891,Jan Breydel Stadium,29022,7,7,"Belgian league 19; Belgian Cup 12; European: European Cup final 1, no major UEFA title","Belgian league 19; Belgian Cup 12; European: European Cup final 1, no major UEFA title","Belgian league 19; Belgian Cup 12; European: European Cup final 1, no major UEFA title",7,7,None known,5,Balanced / selective spending
Como,Champions League Pool,Italy,1907,Stadio Giuseppe Sinigaglia,13500,7,7,Serie A 0; major cup wins 0,Serie A 0; major cup wins 0,Serie A 0; major cup wins 0,7,7,None known,5,Balanced / selective spending
Feyenoord,Champions League Pool,Netherlands,1908,De Kuip,51117,8,9,"Eredivisie 16; KNVB Cup 14; European: European Cup 1, UEFA Cup 2","Eredivisie 16; KNVB Cup 14; European: European Cup 1, UEFA Cup 2","Eredivisie 16; KNVB Cup 14; European: European Cup 1, UEFA Cup 2",8,7,No Ballon d'Or winner,6,Balanced / selective spending
Galatasaray SK,Champions League Pool,Turkey,1905,Rams Park,53200,8,8,"Turkish league 25; Turkish Cup 18; European: UEFA Cup 1, Super Cup 1","Turkish league 25; Turkish Cup 18; European: UEFA Cup 1, Super Cup 1","Turkish league 25; Turkish Cup 18; European: UEFA Cup 1, Super Cup 1",8,7,None known,5,Balanced / selective spending
Inter,Champions League Pool,Italy,1908,San Siro,75817,8,8,"Serie A 20; Coppa Italia 9; European: Champions League/European Cup 3, UEFA Cup 3","Serie A 20; Coppa Italia 9; European: Champions League/European Cup 3, UEFA Cup 3","Serie A 20; Coppa Italia 9; European: Champions League/European Cup 3, UEFA Cup 3",9,10,Lothar Matthäus; Ronaldo,5,Balanced / selective spending
RB Leipzig,Champions League Pool,Germany,2009,Red Bull Arena,47069,9,9,DFB-Pokal 2; major European trophies 0,DFB-Pokal 2; major European trophies 0,DFB-Pokal 2; major European trophies 0,7,7,None known,6,Balanced / selective spending
RC Lens,Champions League Pool,France,1906,Stade Bollaert-Delelis,38223,7,7,Ligue 1 1; Coupe de la Ligue 2,Ligue 1 1; Coupe de la Ligue 2,Ligue 1 1; Coupe de la Ligue 2,7,7,None known,6,Balanced / selective spending
Lille OSC,Champions League Pool,France,1944,Decathlon Arena – Stade Pierre-Mauroy,50186,7,7,Ligue 1 4; Coupe de France 6,Ligue 1 4; Coupe de France 6,Ligue 1 4; Coupe de France 6,7,7,None known,6,Balanced / selective spending
Napoli,Champions League Pool,Italy,1926,Stadio Diego Armando Maradona,54726,8,8,Serie A 4; Coppa Italia 6; European: UEFA Cup 1,Serie A 4; Coppa Italia 6; European: UEFA Cup 1,Serie A 4; Coppa Italia 6; European: UEFA Cup 1,8,7,Diego Maradona,5,Balanced / selective spending
Paris Saint-Germain,Champions League Pool,France,1970,Parc des Princes,47929,9,8,Ligue 1 13; Coupe de France 15; Coupe de la Ligue 9; European: Cup Winners' Cup 1,Ligue 1 13; Coupe de France 15; Coupe de la Ligue 9; European: Cup Winners' Cup 1,Ligue 1 13; Coupe de France 15; Coupe de la Ligue 9; European: Cup Winners' Cup 1,9,8,George Weah; Lionel Messi,8,Elite spending / marquee signings
FC Porto,Champions League Pool,Portugal,1893,Estádio do Dragão,50033,9,9,"Portuguese league 30; Taça de Portugal 20; European: European Cup/Champions League 2, UEFA Cup/Europa League 2, Cup Winners' Cup 1","Portuguese league 30; Taça de Portugal 20; European: European Cup/Champions League 2, UEFA Cup/Europa League 2, Cup Winners' Cup 1","Portuguese league 30; Taça de Portugal 20; European: European Cup/Champions League 2, UEFA Cup/Europa League 2, Cup Winners' Cup 1",9,8,Luís Figo,6,Balanced / selective spending
PSV,Champions League Pool,Netherlands,1913,Philips Stadion,35000,9,10,"Eredivisie 26; KNVB Cup 11; European: European Cup 1, UEFA Cup 1","Eredivisie 26; KNVB Cup 11; European: European Cup 1, UEFA Cup 1","Eredivisie 26; KNVB Cup 11; European: European Cup 1, UEFA Cup 1",8,7,,6,Balanced / selective spending
Real Betis Balompié,Champions League Pool,Spain,1907,Estadio Benito Villamarín,60721,7,7,La Liga 1; Copa del Rey 3,La Liga 1; Copa del Rey 3,La Liga 1; Copa del Rey 3,7,7,None known,5,Balanced / selective spending
Real Madrid,Champions League Pool,Spain,1902,Santiago Bernabéu,83186,10,10,"La Liga 36; Copa del Rey 20; European: European Cup/Champions League 15, UEFA Cup 2","La Liga 36; Copa del Rey 20; European: European Cup/Champions League 15, UEFA Cup 2","La Liga 36; Copa del Rey 20; European: European Cup/Champions League 15, UEFA Cup 2",9,10,Alfredo Di Stéfano; Raymond Kopa; Luís Figo; Ronaldo; Fabio Cannavaro; Luka Modrić; Karim Benzema,8,Elite spending / marquee signings
Roma,Champions League Pool,Italy,1927,Stadio Olimpico,70634,7,7,Serie A 3; Coppa Italia 9; European: Conference League 1,Serie A 3; Coppa Italia 9; European: Conference League 1,Serie A 3; Coppa Italia 9; European: Conference League 1,7,7,None known,5,Balanced / selective spending
Shakhtar Donetsk,Champions League Pool,Ukraine,1936,Arena Lviv,34915,9,9,Ukrainian league 15; Ukrainian Cup 14; European: UEFA Cup 1,Ukrainian league 15; Ukrainian Cup 14; European: UEFA Cup 1,Ukrainian league 15; Ukrainian Cup 14; European: UEFA Cup 1,7,7,None known,5,Balanced / selective spending
SK Slavia Praha,Champions League Pool,Czech Republic,1892,Fortuna Arena,19370,7,7,Czech/Czechoslovak league 21; domestic cups 10+; European: no major UEFA club trophy,Czech/Czechoslovak league 21; domestic cups 10+; European: no major UEFA club trophy,Czech/Czechoslovak league 21; domestic cups 10+; European: no major UEFA club trophy,7,7,None known,5,Balanced / selective spending
Sporting CP,Champions League Pool,Portugal,1906,Estádio José Alvalade,50195,9,10,Portuguese league 21; Taça de Portugal 18; European: Cup Winners' Cup 1,Portuguese league 21; Taça de Portugal 18; European: Cup Winners' Cup 1,Portuguese league 21; Taça de Portugal 18; European: Cup Winners' Cup 1,8,7,None known,6,Balanced / selective spending
VfB Stuttgart,Champions League Pool,Germany,1893,MHPArena,60449,7,7,Bundesliga 5; DFB-Pokal 4,Bundesliga 5; DFB-Pokal 4,Bundesliga 5; DFB-Pokal 4,7,7,None known,5,Balanced / selective spending
Villarreal CF,Champions League Pool,Spain,1923,Estadio de la Cerámica,23500,7,7,Europa League 1,Europa League 1,Europa League 1,7,7,None known,6,Balanced / selective spending
FK Bodø/Glimt,Champions League Pool,Norway,1916,Aspmyra Stadion,8270,7,7,Norwegian league 3; Norwegian Cup 2,Norwegian league 3; Norwegian Cup 2,Norwegian league 3; Norwegian Cup 2,7,7,None known,5,Balanced / selective spending
Celtic,Champions League Pool,Scotland,1887,Celtic Park,60411,8,8,Scottish league 55; Scottish Cup 42; League Cup 21; European: European Cup 1,Scottish league 55; Scottish Cup 42; League Cup 21; European: European Cup 1,Scottish league 55; Scottish Cup 42; League Cup 21; European: European Cup 1,8,8,No Ballon d'Or winner,5,Balanced / selective spending
AEK Athens,Champions League Pool,Greece,1924,OPAP Arena,32500,7,7,Greek league 13; Greek Cup 16,Greek league 13; Greek Cup 16,Greek league 13; Greek Cup 16,7,7,None known,5,Balanced / selective spending
Olympique Lyonnais,Champions League Pool,France,1950,Groupama Stadium,59186,9,9,Ligue 1 7; Coupe de France 5; Coupe de la Ligue 1,Ligue 1 7; Coupe de France 5; Coupe de la Ligue 1,Ligue 1 7; Coupe de France 5; Coupe de la Ligue 1,8,7,None known,5,Balanced / selective spending
Fenerbahçe SK,Champions League Pool,Turkey,1907,Şükrü Saracoğlu Stadium,47700,7,7,Turkish league 19; Turkish Cup 7,Turkish league 19; Turkish Cup 7,Turkish league 19; Turkish Cup 7,7,7,None known,5,Balanced / selective spending
Dinamo Zagreb,Champions League Pool,Croatia,1911,Stadion Maksimir,35423,7,7,Croatian league 26; Croatian Cup 17,Croatian league 26; Croatian Cup 17,Croatian league 26; Croatian Cup 17,7,7,None known,5,Balanced / selective spending
Eintracht Frankfurt,Champions League Pool,Germany,1899,Deutsche Bank Park,58000,7,7,Bundesliga 1; DFB-Pokal 5; European: UEFA Cup 1,Bundesliga 1; DFB-Pokal 5; European: UEFA Cup 1,Bundesliga 1; DFB-Pokal 5; European: UEFA Cup 1,7,7,None known,5,Balanced / selective spending
AZ Alkmaar,Europa League Pool,Netherlands,1967,AFAS Stadion,19759,6,6,Eredivisie 2; KNVB Cup 4,Eredivisie 2; KNVB Cup 4,Eredivisie 2; KNVB Cup 4,6,6,None known,5,Balanced / selective spending
RC Celta,Europa League Pool,Spain,1923,Abanca-Balaídos,29000,6,6,major league/cup wins 0,major league/cup wins 0,major league/cup wins 0,6,6,None known,5,Balanced / selective spending
TSG 1899 Hoffenheim,Europa League Pool,Germany,1899,PreZero Arena,30150,6,6,major league/cup wins 0,major league/cup wins 0,major league/cup wins 0,6,6,None known,5,Balanced / selective spending
Juventus,Europa League Pool,Italy,1897,Allianz Stadium,41507,8,8,"Serie A 36; Coppa Italia 15; European: Champions League/European Cup 2, UEFA Cup 3, Cup Winners' Cup 1","Serie A 36; Coppa Italia 15; European: Champions League/European Cup 2, UEFA Cup 3, Cup Winners' Cup 1","Serie A 36; Coppa Italia 15; European: Champions League/European Cup 2, UEFA Cup 3, Cup Winners' Cup 1",9,10,Omar Sívori; Michel Platini; Roberto Baggio; Pavel Nedvěd,8,Elite spending / marquee signings
Bayer 04 Leverkusen,Europa League Pool,Germany,1904,BayArena,30210,6,6,Bundesliga 1; DFB-Pokal 2; European: UEFA Cup 1,Bundesliga 1; DFB-Pokal 2; European: UEFA Cup 1,Bundesliga 1; DFB-Pokal 2; European: UEFA Cup 1,6,6,None known,5,Balanced / selective spending
Olympique de Marseille,Europa League Pool,France,1899,Orange Vélodrome,67394,8,8,Ligue 1 9; Coupe de France 10; European: Champions League/European Cup 1,Ligue 1 9; Coupe de France 10; European: Champions League/European Cup 1,Ligue 1 9; Coupe de France 10; European: Champions League/European Cup 1,8,7,None known,5,Balanced / selective spending
AC Milan,Europa League Pool,Italy,1899,San Siro,75817,8,8,"Serie A 19; Coppa Italia 5; European: Champions League/European Cup 7, Cup Winners' Cup 2","Serie A 19; Coppa Italia 5; European: Champions League/European Cup 7, Cup Winners' Cup 2","Serie A 19; Coppa Italia 5; European: Champions League/European Cup 7, Cup Winners' Cup 2",9,10,Gianni Rivera; Ruud Gullit; Marco van Basten; George Weah; Andriy Shevchenko; Kaká,8,Elite spending / marquee signings
Olympiacos FC,Europa League Pool,Greece,1925,Karaiskakis Stadium,32115,8,8,Greek league 48; Greek Cup 29,Greek league 48; Greek Cup 29,Greek league 48; Greek Cup 29,8,7,None known,5,Balanced / selective spending
Real Sociedad,Europa League Pool,Spain,1909,Reale Arena,39500,6,6,La Liga 2; Copa del Rey 3,La Liga 2; Copa del Rey 3,La Liga 2; Copa del Rey 3,6,6,None known,6,Balanced / selective spending
Stade Rennais FC,Europa League Pool,France,1901,Roazhon Park,29778,6,6,Coupe de France 3,Coupe de France 3,Coupe de France 3,6,6,None known,5,Balanced / selective spending
Sparta Praha,Europa League Pool,Czech Republic,1893,epet ARENA,18944,6,6,Czech/Czechoslovak league 14+; domestic cups 8+,Czech/Czechoslovak league 14+; domestic cups 8+,Czech/Czechoslovak league 14+; domestic cups 8+,6,6,None known,5,Balanced / selective spending
